gene	drug	association
PA107	PA449053	associated
PA109	PA164745443	not associated
PA109	PA165950341	associated
PA117	PA450626	associated
PA120	PA164776912	not associated
PA124	PA451791	associated
PA126	PA164712462	associated
PA126	PA449293	associated
PA128	PA449233	associated
PA128	PA449409	associated
PA128	PA449969	associated
PA128	PA451131	associated
PA128	PA451791	associated
PA128394625	PA448837	not associated
PA128394626	PA451664	not associated
PA128394636	PA449269	not associated
PA131	PA451365	associated
PA133787052	PA165980614	associated
PA134862833	PA451377	not associated
PA134865839	PA448897	associated
PA134866519	PA164749389	not associated
PA134866995	PA449733	not associated
PA134869369	PA164747225	not associated
PA134872551	PA448073	associated
PA134872551	PA450688	associated
PA134873462	PA164774806	not associated
PA134875286	PA164713361	not associated
PA134888470	PA10242	not associated
PA134891536	PA164748763	not associated
PA134898340	PA451542	not associated
PA134902267	PA10472	not associated
PA134904608	PA451799	not associated
PA134909202	PA164713097	not associated
PA134910460	PA164713161	not associated
PA134914705	PA448068	associated
PA134919013	PA10088	not associated
PA134919164	PA164713191	not associated
PA134923704	PA164924561	not associated
PA134923836	PA164712825	not associated
PA134924202	PA450395	not associated
PA134933992	PA164712309	not associated
PA134938366	PA452233	not associated
PA134946370	PA451620	not associated
PA134949021	PA164712492	not associated
PA134954730	PA161990676	not associated
PA134956203	PA134687926	not associated
PA134958918	PA166122786	not associated
PA134959491	PA451749	not associated
PA134961522	PA164712835	not associated
PA134962077	PA164713117	not associated
PA134963132	PA448515	associated
PA134963132	PA450379	associated
PA134968861	PA164754915	not associated
PA134969749	PA165946719	not associated
PA134972424	PA451539	not associated
PA134976887	PA164713085	not associated
PA134977950	PA448827	not associated
PA134981866	PA164713262	not associated
PA134982210	PA10457	not associated
PA134982239	PA164777012	not associated
PA134983854	PA164748026	not associated
PA134985523	PA166049178	not associated
PA134992686	PA449899	associated
PA134994122	PA451224	not associated
PA139	PA448780	associated
PA142670545	PA165958342	not associated
PA142670557	PA166049176	not associated
PA142670677	PA154081779	not associated
PA142670797	PA452616	not associated
PA142670838	PA166122986	associated
PA142670865	PA164713257	not associated
PA142670916	PA448031	not associated
PA142670980	PA166110254	not associated
PA142671019	PA166123367	not associated
PA142671333	PA164746819	not associated
PA142671508	PA448045	not associated
PA142671612	PA164713347	not associated
PA142671954	PA449301	not associated
PA142672223	PA162363968	not associated
PA142672263	PA165817199	not associated
PA142672353	PA450085	associated
PA142672631	PA164713348	not associated
PA143485396	PA448428	not associated
PA143485585	PA449527	not associated
PA144596265	PA450631	not associated
PA144596466	PA10159	not associated
PA144596484	PA450395	associated
PA145	PA164713220	associated
PA145	PA452620	associated
PA145007772	PA150595617	not associated
PA145148063	PA164746255	not associated
PA145149101	PA166122595	not associated
PA146	PA164713080	not associated
PA155	PA150595617	associated
PA162375689	PA449760	not associated
PA162378126	PA165958427	not associated
PA162380687	PA450043	not associated
PA162383628	PA164749381	not associated
PA162386448	PA164781022	not associated
PA162390253	PA10079	not associated
PA162390937	PA448004	not associated
PA162394186	PA164768835	not associated
PA162394368	PA450302	not associated
PA162394670	PA452249	not associated
PA162396161	PA165958377	not associated
PA162397582	PA450146	not associated
PA162399304	PA449814	not associated
PA162402362	PA451434	not associated
PA162402915	PA165860788	not associated
PA162404269	PA448839	not associated
PA162409746	PA164713413	not associated
PA162410749	PA164712426	not associated
PA162410787	PA164713271	not associated
PA164718294	PA164712471	not associated
PA164721242	PA448817	not associated
PA164722474	PA164713416	not associated
PA164722812	PA451585	not associated
PA164723024	PA146123005	not associated
PA164724444	PA449839	not associated
PA164726993	PA10049	not associated
PA165378349	PA165817938	not associated
PA165585735	PA151070295	not associated
PA165617645	PA451581	not associated
PA165618181	PA448817	not associated
PA165618277	PA451126	not associated
PA165660363	PA451773	not associated
PA165791429	PA450760	not associated
PA165791890	PA164712760	not associated
PA166049147	PA165958354	associated
PA166123679	PA165958393	not associated
PA176	PA451346	associated
PA189	PA133950441	associated
PA189	PA451363	associated
PA235	PA448497	associated
PA24385	PA164712835	not associated
PA245	PA448803	associated
PA24536	PA451089	associated
PA24624	PA451457	not associated
PA24671	PA164764506	not associated
PA24685	PA164712802	not associated
PA24690	PA451168	not associated
PA25086	PA164712734	not associated
PA25394	PA164744013	not associated
PA25837	PA448472	not associated
PA25915	PA164712918	not associated
PA25915	PA165958363	not associated
PA25991	PA449653	not associated
PA26003	PA166110255	not associated
PA26178	PA449798	not associated
PA26489	PA164749386	not associated
PA26589	PA164752558	not associated
PA26589	PA451182	not associated
PA267	PA449599	associated
PA267	PA450705	associated
PA267	PA451735	associated
PA26744	PA164749051	not associated
PA26874	PA10832	associated
PA26874	PA451749	associated
PA26875	PA134687887	associated
PA27106	PA164744009	not associated
PA27433	PA164713176	associated
PA27433	PA449552	associated
PA27562	PA165958342	not associated
PA27571	PA164745609	not associated
PA27845	PA451897	not associated
PA27986	PA164776669	not associated
PA28041	PA451674	not associated
PA28063	PA451743	associated
PA28065	PA451261	associated
PA28065	PA451743	associated
PA28075	PA164712563	associated
PA281	PA449652	not associated
PA28100	PA164743143	not associated
PA28402	PA164749342	not associated
PA28469	PA10176	associated
PA28490	PA134711724	not associated
PA28565	PA164712951	not associated
PA28606	PA164713195	not associated
PA28849	PA450196	not associated
PA28976	PA449015	associated
PA28976	PA452229	associated
PA290	PA164774763	associated
PA29108	PA164750430	not associated
PA29196	PA130620651	associated
PA29514	PA164764601	not associated
PA29632	PA164764503	not associated
PA29973	PA164783990	associated
PA30106	PA164712339	not associated
PA30432	PA133950441	associated
PA30647	PA164769104	not associated
PA30666	PA152241908	not associated
PA30673	PA164750513	not associated
PA30676	PA452233	associated
PA30727	PA449247	not associated
PA31	PA449719	associated
PA31	PA451483	associated
PA31131	PA450249	not associated
PA31445	PA164713325	not associated
PA31534	PA151249535	associated
PA31697	PA164776636	not associated
